StationID,StationName,StateName
37,A.S.Peta,AP
1334,Aachara,MH
10225,Aachyunthapuram,AP
10210,Aade,MH
4135,Aadsar,RJ
10286,Aagariya(Gujarat),GJ
4136,Aahor,RJ
9752,Aala,GJ
4137,Aambur,TN
2515,Aanjangaon,MH
2516,Aanjar,KL
9108,Aaradhana Dham,GJ
4215,Aaspur,RJ
2494,Aategaon,MH
2517,Aathankarai,TN
9246,Aathipatti,TN
7165,Aatingal,KL
5860,Aatthur,TN
4005,Abad (Airport),KL
4141,Abd (airport),GJ
4142,Abd (c.t.m),GJ
4143,Abd (naroda Patia),GJ
4144,Abd (rly Station),GJ
4145,Abd [sabarmati],GJ
4146,Abhanpur,CT
7166,Abhyathamangala,KA
4147,Abiramam,TN
1338,Abohar,PB
2518,Abu,RJ
4148,Abu Darshan,RJ
1339,Abu Road,RJ
10209,Achalpur(MH),MH
7167,Achampet,TG
464,Achanta,AP
10172,Adampur Mandi,HR
4149,Adani Power,HR
3569,Adda Road,AP
511,Addanki,AP
7720,Addapara,MP
492,Addavaram,AP
4150,Adesar,GJ
9109,Adhewada,GJ
1341,Adhirampattinam,TN
7168,Adichunchanagiri,KA
153,Adilabad,TG
2432,Adimali,KL
1340,Adipur,GJ
1341,Adirampattinam,TN
7169,Adivaram,KL
4153,Adlabad,TG
1062,Adoni,AP
971,Adoor,KL
7170,Adul,MH
7171,Adur,KA
4154,Aduthurai,TN
4155,Advana,GJ
4156,Afzal Gunj,TG
7172,Afzalfur,KA
4157,Afzalgarh,UP
4158,Agar,MP
4159,Agartala,TR
9110,Aghevada,GJ
239,Agra,UP
3507,Agra Bypass,UP
2520,Agra Fort,UP
4160,Agra Tour,UP
10211,Agrav,MH
7173,Agumbe,KA
10212,Aheri(MH),MH
242,Ahmedabad,GJ
4141,Ahmedabad (Airport),GJ
9970,Ahmedabad (Bapunagar),GJ
245,Ahmednagar,MH
731,Ahmedpur,MH
6162,Ahore,RJ
7174,Aihole,KA
2521,Ailnabad,
9543,Ainapur Belgaum Dist.,KA
4161,Airoli,MH
8493,Aizawl,MZ
808,Ajanta,MH
3027,Ajara,MH
4162,Ajaygarh,MP
3341,Ajekar,KA
8398,Ajinkyatar,MH
7175,Ajjampura,KA
1345,Ajmer,RJ
8427,Ajra,MH
8464,Akara Maruti Kolhapur Wadi,MH
507,Akbarpur,UP
10030,Akeri,MH
92,Akiveedu,AP
3787,Akkalkot,KA
10231,Akkalkuva,MH
7176,Akkialur,KA
10229,Akluj,MH
246,Akola,MH
9111,Akolali-Jaliya,GJ
2523,Akolawadi,GJ
4163,Akoli,MH
1346,Akot,MH
4164,Akurdi (pune),MH
2524,Alagankulam,TN
4165,Alagiyamandapam,TN
2525,Alakode,KL
9535,Alamcode,KL
7178,Alamel,TN
309,Alamuru,AP
709,Aland,KA
1347,Alangaru,KA
9318,Alangudi,TN
1348,Alangulam(Tirunelveli),TN
4167,Alanthalai,TN
8727,Alapadu,TG
907,Alappuzha,KL
913,Alathur(Kerala),KL
7179,Aldur,KA
10230,Alephata,MH
10152,Aleru Bypass(Telangana),TG
10151,Aleru(Telangana),TG
8396,Alibagh,MH
363,Aligarh,UP
7180,Alike,KA
845,Allagadda,AP
10126,Allagadda Bye Pass,AP
343,Allahabad,UP
907,Alleppey,KL
907,Alleppy,KL
8726,Alluru,AP
1352,Almatti,KA
7758,Almel,KA
2527,Almora,UT
4169,Alnabad,UP
7181,Alnavar,KA
7182,Alursiddapur,KA
1063,Aluru,AP
908,Aluva,KL
7183,Alwandi,KA
1354,Alwar,RJ
9247,Alwarkurichi,TN
2528,Alwarthirunagari,TN
908,Alwaye,KL
9766,Amadalavalasa,AP
20,Amalapuram,AP
2529,Amalner,MH
247,Amaravathi MH,MH
1169,Amareshwar Camp,KA
10177,Amargadh,GJ
9700,Amarnagar,GJ
2530,Amarnath Yatra,JK
9112,Amba,GJ
1356,Ambaji,GJ
69,Ambajipeta,AP
2531,Ambajogai,MH
2532,Ambala,HR
990,ambalapuzha,KL
3822,Amballoor,KL
9790,Ambapani(Odisha),OR
8900,Ambardi,GJ
8188,Ambarnath,MH
1357,Ambasamutram,KA
2534,Ambattur,TN
2535,Ambayathode,KL
2536,Amber Fort,RJ
7185,Ambikanagar,KA
4175,Ambikapur,CT
7186,Amboli,MH
1359,Ambur,TN
1360,Amdapur,MH
1361,Amet,RJ
10099,Amethi,UP
10232,Amgaon,MH
8497,Amguri,AS
1362,Amingad,KA
4177,Amlapur,KA
4178,Ammalner,MH
9493,Ammanpuram,TN
193,Ammapattinam,TN
7187,Ammathi,KA
9739,Amnaur,BR
1363,Ampar,KA
8901,Amrapur,GJ
2537,Amreli,GJ
1365,Amritsar,PB
3845,Amruthalur,AP
4181,Amuthapuram,TN
9755,Anadiya,GJ
7188,Anagola,KA
4182,Anaikkarai,TN
27,Anakapalli,AP
1056,Anakapalli Bye Pass,AP
909,Anakara,KL
9775,Anampally,AP
688,Anand,GJ
8902,Anand Express Highway,GJ
8354,Anand Nadiyad,GJ
4185,Anand Vihar,DL
7189,Anandapura,KA
9791,Anandapuram,AP
9709,Anandpar,GJ
10066,Anandur,TN
112,Anantapur(AP),AP
4186,Ananthapalli,TG
1235,Ananthapur By-pass(AP),AP
10110,Ananthapuram(TN),TN
148,Anaparthi,AP
234,Anathavaram,AP
9990,Anavatti,KA
10010,Anayara,KL
4187,Anchtageri,KA
8120,Andalur Gate,TN
9383,Andhera,MH
3293,Anegudde,KA
7191,Anekal,KA
9743,Angadipuram,KL
3986,Angalakuduru,AP
2539,Angallu,AP
910,Angamaly,KL
10059,Angara,AP
4192,Angul,OR
7872,Anida,GJ
4193,Anjangaon,MH
9638,Anjani,MH
4194,Anjaniya,TN
1366,Anjar,GJ
9113,Anjiyakadi,GJ
4195,Anjugiramam,TN
8903,Ankadiya,GJ
8728,Ankalamma Gudur,AP
9348,Ankaleshwar,GJ
4196,Ankali,KA
687,Ankleshwar,MH
9478,Ankleshwar Bypass,MH
1045,Ankola,KA
7707,Ankolvadi,GJ
7193,Anmod,KA
7194,Anmod Ka Ga Border,KA
10036,Annadevaraeta,AP
9328,Annadevarapadu,AP
8834,AnnambhotlavariPalem,AP
8729,Annaram,TG
8730,Annasamudram Pet,AP
29,Annavaram,AP
1055,Annavaram (By-Pass),AP
283,Annavarapadu,AP
1367,Annur,TN
8904,Ansodar,GJ
7195,Antharkatte,
8559,Anthiyur,TN
10202,Anthoniyarpuram,TN
3570,Anugul,OR
2540,Anupgarh,RJ
7196,Aousa,MH
3590,Appapuram,AP
2312,Appikatla,AP
7197,Arakalgudu,KA
7198,Arakera,TN
202,Araku,AP
9505,Aralikottai,TN
4197,Aralvaimozhi,TN
4198,Arang,CT
1368,Aranthangi,TN
4200,Araria Court,BR
4201,Araria Zeromile,BR
1369,Arate,KA
9647,Aravade,MH
9965,Aravakurichi,TN
2541,Aravali,RJ
7200,Arcot,TN
902,Ardavaram,AP
4202,Ardhapur,MH
2542,Areekode,KL
4204,Arehole,KA
4205,Areraj,BR
1370,Ariyalur,TN
9624,Arjansar Rajastan,RJ
2543,Arjunsar,KA
1371,Armoor,TG
4207,Arnej,GJ
4208,Arni,TN
4209,Arni (mh),TN
1372,Aroor,KL
2544,Arsikere,KA
1373,Arumuganeri,TN
4210,Arumugaveni,PB
1374,Aruppukottai,TN
4211,Aruppukottai By Pass,TN
10233,Arvi,MH
4212,Aryankav,KL
164,Asansol,WB
9114,Asarana,OR
2227,Ashta,MP
2545,Ashtavinayak,MH
8885,Ashtavinayak Darshan,MH
4213,Ashti,MH
8574,Asifabad,TG
4214,Asind,RJ
9792,Aska,OR
9756,Asodar,GJ
7201,Asperi,AP
4215,Aspur,RJ
4216,Assolna,GA
1211,Aswapuram,TG
494,Aswaraopet,AP
4217,Atabira,OR
2546,Athangudi,TN
